athlete_id,name,DOB,Height(cm),Weight(kg),Year,Type,Sport,Event,NOC,Team,Medal,Region,Bronze,Gold,Silver
1535187,VERDE ALVAREZ Marco Alonso,11-02-2002,180,0,2024,Summer,Boxing,Men's 71kg,MEX,,Silver,Mexico,FALSE,FALSE,TRUE
1535191,GONZALEZ Alegna,02-01-1999,158,0,2024,Summer,Athletics,"Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed",MEX,,,Mexico,FALSE,FALSE,FALSE
1535195,LOPEZ Jesus Tonatiu,02-08-1997,190,0,2024,Summer,Athletics,Men's 800m,MEX,,,Mexico,FALSE,FALSE,FALSE
1535199,PORTILLO Erick,05-10-2000,190,0,2024,Summer,Athletics,Men's High Jump,MEX,,,Mexico,FALSE,FALSE,FALSE
1535201,MUNOZ Uziel,08-09-1995,185,0,2024,Summer,Athletics,Men's Shot Put,MEX,,,Mexico,FALSE,FALSE,FALSE
1535202,del REAL Diego,06-03-1994,185,0,2024,Summer,Athletics,Men's Hammer Throw,MEX,,,Mexico,FALSE,FALSE,FALSE
1535203,DOCTOR Jose Luis,14-06-1996,175,0,2024,Summer,Athletics,Men's 20km Race Walk,MEX,,,Mexico,FALSE,FALSE,FALSE
1535212,MORAN Paola,25-02-1997,169,0,2024,Summer,Athletics,Women's 400m,MEX,,,Mexico,FALSE,FALSE,FALSE
1535214,GALVAN Laura,05-10-1991,162,0,2024,Summer,Athletics,Women's 5000m,MEX,,,Mexico,FALSE,FALSE,FALSE
1535216,CORTES Alma Delia,26-12-1997,160,0,2024,Summer,Athletics,Women's 5000m,MEX,,,Mexico,FALSE,FALSE,FALSE
1535217,CRISTIAN MOSCOTE Citlali,15-04-1995,154,0,2024,Summer,Athletics,Women's Marathon,MEX,,,Mexico,FALSE,FALSE,FALSE
1535222,PALMA OLIVARES Ever Jair,18-03-1992,168,0,2024,Summer,Athletics,Marathon Race Walk Relay Mixed,MEX,,,Mexico,FALSE,FALSE,FALSE
1535225,OETLING RAMIREZ Elena,18-04-1993,0,0,2024,Summer,Sailing,Women's Dinghy,MEX,,,Mexico,FALSE,FALSE,FALSE
1535226,AGUILAR CHAVEZ PEON Mariana,12-03-1999,0,0,2024,Summer,Sailing,Women's Windsurfing,MEX,,,Mexico,FALSE,FALSE,FALSE
1535252,LECHUGA ALANIS Kenia,26-06-1994,0,0,2024,Summer,Rowing,Women's Single Sculls,MEX,,,Mexico,FALSE,FALSE,FALSE
1535260,LOPEZ GARCIA Alexis,01-05-1997,0,0,2024,Summer,Rowing,Lightweight Men's Double Sculls,MEX,,,Mexico,FALSE,FALSE,FALSE
1535267,CARBALLO NIETO Miguel,08-07-1992,0,0,2024,Summer,Rowing,Lightweight Men's Double Sculls,MEX,,,Mexico,FALSE,FALSE,FALSE
1535310,BLANCO Luisa,18-11-2001,0,0,2024,Summer,Gymnastics,"Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault",COL,,,Colombia,FALSE,FALSE,FALSE
1535343,WILLARS VALDEZ Randal,30-04-2002,0,0,2024,Summer,Diving,"Men's 10m Platform"", ""Men's Synchronised 10m Platform",MEX,,,Mexico,FALSE,FALSE,FALSE
1535345,BERLIN REYES Kevin,25-04-2001,0,0,2024,Summer,Diving,"Men's 10m Platform"", ""Men's Synchronised 10m Platform",MEX,,,Mexico,FALSE,FALSE,FALSE
1535346,OROZCO LOZA Alejandra,19-04-1997,0,0,2024,Summer,Diving,"Women's 10m Platform"", ""Women's Synchronised 10m Platform",MEX,,,Mexico,FALSE,FALSE,FALSE
1535348,AGUNDEZ GARCIA Gabriela,04-08-2000,0,0,2024,Summer,Diving,"Women's 10m Platform"", ""Women's Synchronised 10m Platform",MEX,,,Mexico,FALSE,FALSE,FALSE
1535349,OLVERA IBARRA Osmar,05-06-2004,0,0,2024,Summer,Diving,"Men's 3m Springboard"", ""Men's Synchronised 3m Springboard",MEX,,,Mexico,FALSE,FALSE,FALSE
1535350,GARZA PEREZ Eugenio,23-07-1996,0,0,2024,Summer,Equestrian,"Jumping Individual', 'Jumping Team",MEX,,,Mexico,FALSE,FALSE,FALSE
1535351,FERNANDEZ Federico,28-03-1968,0,0,2024,Summer,Equestrian,"Jumping Individual', 'Jumping Team",MEX,,,Mexico,FALSE,FALSE,FALSE
1535354,de LARA OJEDA Miguel Alejandro,09-08-1994,0,0,2024,Summer,Swimming,"Men's 100m Breaststroke"", ""Men's 200m Breaststroke",MEX,,,Mexico,FALSE,FALSE,FALSE
1535356,MORENO Alexa,08-08-1994,0,0,2024,Summer,Gymnastics,"Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault",MEX,,,Mexico,FALSE,FALSE,FALSE
1535357,SANDOVAL Ahtziri,05-10-1996,0,0,2024,Summer,Gymnastics,"Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault",MEX,,,Mexico,FALSE,FALSE,FALSE
1535358,FLORES Sofia,20-12-2004,0,0,2024,Summer,Gymnastics,Group All-Around,MEX,,,Mexico,FALSE,FALSE,FALSE
1535359,SALAZAR Kimberly,24-04-2004,0,0,2024,Summer,Gymnastics,Group All-Around,MEX,,,Mexico,FALSE,FALSE,FALSE
1535360,TEJEDA Adirem,21-06-2002,0,0,2024,Summer,Gymnastics,Group All-Around,MEX,,,Mexico,FALSE,FALSE,FALSE
1535361,ALCOCER Dalia,02-01-2004,0,0,2024,Summer,Gymnastics,Group All-Around,MEX,,,Mexico,FALSE,FALSE,FALSE
1535362,GUTIERREZ Julia,13-09-2007,0,0,2024,Summer,Gymnastics,Group All-Around,MEX,,,Mexico,FALSE,FALSE,FALSE
1535363,HERNANDEZ Emiliano,27-01-1998,0,0,2024,Summer,Modern Pentathlon,Men's Individual,MEX,,,Mexico,FALSE,FALSE,FALSE
1535364,CARRILLO Duilio,24-03-1997,0,0,2024,Summer,Modern Pentathlon,Men's Individual,MEX,,,Mexico,FALSE,FALSE,FALSE
1535365,OLIVER Mayan,11-07-1993,0,0,2024,Summer,Modern Pentathlon,Women's Individual,MEX,,,Mexico,FALSE,FALSE,FALSE
1535366,SANSORES Carlos,25-06-1997,0,0,2024,Summer,Taekwondo,Men +80kg,MEX,,,Mexico,FALSE,FALSE,FALSE
1535367,SOUZA Daniela Paola,27-08-1999,0,0,2024,Summer,Taekwondo,Women -49kg,MEX,,,Mexico,FALSE,FALSE,FALSE
1535368,CLELAND QUINONEZ Alan,19-06-2002,0,0,2024,Summer,Surfing,Men,MEX,,,Mexico,FALSE,FALSE,FALSE
1535373,GRIGORIAN Aram,09-06-1998,0,0,2024,Summer,Judo,Men -90 kg,UAE,,,UA Emirates,FALSE,FALSE,FALSE
1535374,KOSTOEV Dzhafar,28-04-1999,0,0,2024,Summer,Judo,Men -100 kg,UAE,,,UA Emirates,FALSE,FALSE,FALSE
1535375,MAGOMEDOMAROV Magomedomar,10-04-2001,0,0,2024,Summer,Judo,Men +100 kg,UAE,,,UA Emirates,FALSE,FALSE,FALSE
1535376,TATALASHVILI Nugzari,20-03-1990,0,0,2024,Summer,Judo,Men -81 kg,UAE,,,UA Emirates,FALSE,FALSE,FALSE
1535383,BISHRELT Khorloodoi,29-05-1998,0,0,2024,Summer,Judo,Women -52 kg,UAE,,,UA Emirates,FALSE,FALSE,FALSE
1535385,HOUSSEIN Alexandre,28-03-1998,0,0,2024,Summer,Judo,Men -73 kg,DJI,,,Djibouti,FALSE,FALSE,FALSE
1535395,AL SAYEGH Safia,23-09-2001,0,0,2024,Summer,Cycling,Women's Road Race,UAE,,,UA Emirates,FALSE,FALSE,FALSE
1535420,VALENCIA Alejandra,17-10-1994,0,0,2024,Summer,Archery,"Women's Individual"", ""Women's Team"", 'Mixed Team",MEX,,,Mexico,FALSE,FALSE,FALSE
1535429,RUIZ Angela,28-07-2006,0,0,2024,Summer,Archery,"Women's Individual"", ""Women's Team",MEX,,,Mexico,FALSE,FALSE,FALSE
1535430,GRANDE Matias,26-04-2004,0,0,2024,Summer,Archery,"Men's Individual"", ""Men's Team"", 'Mixed Team",MEX,,,Mexico,FALSE,FALSE,FALSE
1535433,PRIETO Marcela,11-03-1992,0,0,2024,Summer,Cycling,Women's Road Race,MEX,,,Mexico,FALSE,FALSE,FALSE
1535438,RAMIREZ RAMOS Edson Ismael,10-07-2000,0,0,2024,Summer,Shooting,"10m Air Rifle Men', '10m Air Rifle Mixed Team",MEX,,,Mexico,FALSE,FALSE,FALSE
1535439,RODRIGUEZ Gabriela,12-12-1996,0,0,2024,Summer,Shooting,Skeet Women,MEX,,,Mexico,FALSE,FALSE,FALSE
1535440,ZAVALA VAZQUEZ Alejandra,16-06-1984,0,0,2024,Summer,Shooting,"10m Air Pistol Women', '25m Pistol Women",MEX,,,Mexico,FALSE,FALSE,FALSE
1535441,QUEZADA MARQUEZ Carlos,21-10-1999,0,0,2024,Summer,Shooting,"10m Air Rifle Men', '50m Rifle 3 Positions Men",MEX,,,Mexico,FALSE,FALSE,FALSE
1535442,PENAFLOR MOYSEN Aram Michell,11-03-1999,0,0,2024,Summer,Triathlon,Men's Individual,MEX,,,Mexico,FALSE,FALSE,FALSE
1535444,REINOSO Sofia,23-10-1996,0,0,2024,Summer,Canoeing,"Women's Kayak Single"", ""Women's Kayak Cross",MEX,,,Mexico,FALSE,FALSE,FALSE
1535448,BRIONES FRAGOZA Beatriz,10-02-1999,0,0,2024,Summer,Canoeing,"Women's Kayak Single 500m"", ""Women's Kayak Double 500m",MEX,,,Mexico,FALSE,FALSE,FALSE
1535449,ALANIS MORALES Karina,09-12-1993,0,0,2024,Summer,Canoeing,"Women's Kayak Single 500m"", ""Women's Kayak Double 500m",MEX,,,Mexico,FALSE,FALSE,FALSE
1535505,LINARES Natalia,03-01-2003,171,0,2024,Summer,Athletics,Women's Long Jump,COL,,,Colombia,FALSE,FALSE,FALSE
1535506,LONGA Ronal,30-06-2004,183,0,2024,Summer,Athletics,Men's 100m,COL,,,Colombia,FALSE,FALSE,FALSE
1535511,RUIZ HURTADO Flor Denis,29-01-1991,175,0,2024,Summer,Athletics,Women's Javelin Throw,COL,,,Colombia,FALSE,FALSE,FALSE
1535512,ORJUELA Angie,09-05-1989,158,0,2024,Summer,Athletics,Women's Marathon,COL,,,Colombia,FALSE,FALSE,FALSE
1535513,RENTERIA RENTERIA Tatiana,22-12-2000,0,0,2024,Summer,Wrestling,Women's Freestyle 76kg,COL,,Bronze,Colombia,TRUE,FALSE,FALSE
1535514,VALDES PANA Angie Paola,14-07-2000,165,0,2024,Summer,Boxing,Women's 60kg,COL,,,Colombia,FALSE,FALSE,FALSE
1535522,ARBOLEDA MENDOZA Valeria,13-04-2002,164,0,2024,Summer,Boxing,Women's 57kg,COL,,,Colombia,FALSE,FALSE,FALSE
1535524,BOLANOS LOPEZ Victor,19-09-1994,0,0,2024,Summer,Sailing,Men's Kite,COL,,,Colombia,FALSE,FALSE,FALSE
1535609,ABDOLI Samyar,25-12-2002,0,0,2024,Summer,Swimming,Men's 100m Freestyle,IRI,,,IR Iran,FALSE,FALSE,FALSE
1535660,SIMWAKA Asimenye,08-08-1997,168,0,2024,Summer,Athletics,Women's 100m,MAW,,,Malawi,FALSE,FALSE,FALSE
1535693,AL MARZOOQI Omar Abdul Aziz,28-03-2003,0,0,2024,Summer,Equestrian,"Jumping Individual', 'Jumping Team",UAE,,,UA Emirates,FALSE,FALSE,FALSE
1535729,SERRANO Franco,22-11-2000,0,0,2024,Summer,Modern Pentathlon,Men's Individual,ARG,,,Argentina,FALSE,FALSE,FALSE
1535766,KUMEL SAADI,19-08-2004,191,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535776,JOSEF AL IMAM,27-07-2004,182,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535804,MUNTADHER ABDULAMEER,06-10-2001,165,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535805,MUNTADHER MOHAMMED,05-06-2001,170,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535852,MAEDER Maximilian,12-09-2006,0,0,2024,Summer,Sailing,Men's Kite,SGP,,Bronze,Singapore,TRUE,FALSE,FALSE
1535853,LO Ryan,26-02-1997,0,0,2024,Summer,Sailing,Men's Dinghy,SGP,,,Singapore,FALSE,FALSE,FALSE
1535854,SIM En Yi Letitia,03-03-2003,0,0,2024,Summer,Swimming,"Women's 100m Breaststroke"", ""Women's 200m Breaststroke"", ""Women's 4 x 100m Medley Relay",SGP,,,Singapore,FALSE,FALSE,FALSE
1535856,TAN Jonathan Eu Jin,11-03-2002,0,0,2024,Summer,Swimming,"Men's 100m Freestyle"", ""Men's 50m Freestyle",SGP,,,Singapore,FALSE,FALSE,FALSE
1535858,PEREIRA Veronica Shanti,20-09-1996,164,0,2024,Summer,Athletics,"Women's 100m"", ""Women's 200m",SGP,,,Singapore,FALSE,FALSE,FALSE
1535910,ZAID TAHSEEN,29-01-2001,187,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535913,HUSSEIN AMER,28-04-2002,182,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535914,ANAK LISES Bertrand Rhodict,28-05-2005,0,0,2024,Summer,Diving,Men's 10m Platform,MAS,,,Malaysia,FALSE,FALSE,FALSE
1535916,HUSSEIN LAWEND,20-01-2001,180,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535918,WONG Guanjie Johnathan,23-08-1992,0,0,2024,Summer,Shooting,10m Air Pistol Men,MAS,,,Malaysia,FALSE,FALSE,FALSE
1535925,MOHAMAD ZUBIR Nur Aisyah,04-10-1997,0,0,2024,Summer,Cycling,Women's Road Race,MAS,,,Malaysia,FALSE,FALSE,FALSE
1535926,MOHAMAD LATIF Nur Shazrin,02-02-1998,0,0,2024,Summer,Sailing,Women's Dinghy,MAS,,,Malaysia,FALSE,FALSE,FALSE
1535927,ALI JASIM,20-01-2004,178,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535928,KARRAR SAAD,22-03-2001,176,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535929,KARRAR MOHAMMED,06-01-2001,183,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535930,NIHAD MOHAMMED,14-01-2001,177,0,2024,Summer,Football,Men,IRQ,,,Iraq,FALSE,FALSE,FALSE
1535959,DOUA Camil,23-02-2002,0,0,2024,Summer,Swimming,Men's 50m Freestyle,MTN,,,Mauritania,FALSE,FALSE,FALSE
1535993,CHEW Caroline,18-04-1992,0,0,2024,Summer,Equestrian,Dressage Individual,SGP,,,Singapore,FALSE,FALSE,FALSE
1536032,HERNANDEZ FLORES Margarita,03-12-1985,149,0,2024,Summer,Athletics,Women's Marathon,MEX,,,Mexico,FALSE,FALSE,FALSE
1536045,SALIMI Arian,16-12-2003,0,0,2024,Summer,Taekwondo,Men +80kg,IRI,,Gold,IR Iran,FALSE,TRUE,FALSE
1536058,BARKHORDARI Mehran,26-07-2000,0,0,2024,Summer,Taekwondo,Men -80kg,IRI,,Silver,IR Iran,FALSE,FALSE,TRUE
1536064,NEMATZADEH Mobina,17-05-2005,0,0,2024,Summer,Taekwondo,Women -49kg,IRI,,Bronze,IR Iran,TRUE,FALSE,FALSE
1536067,KIYANICHANDEH Nahid,01-08-1998,0,0,2024,Summer,Taekwondo,Women -57kg,IRI,,Silver,IR Iran,FALSE,FALSE,TRUE
1536157,MPALI Adam,29-05-2002,0,0,2024,Summer,Swimming,Men's 50m Freestyle,GAB,,,Gabon,FALSE,FALSE,FALSE
1536175,AMISON Naima-Zahra,10-10-2003,0,0,2024,Summer,Swimming,Women's 50m Freestyle,DJI,,,Djibouti,FALSE,FALSE,FALSE
1536184,STREHLKE DELGADO Paulo,10-01-2006,0,0,2024,Summer,Swimming,Men's 10km,MEX,,,Mexico,FALSE,FALSE,FALSE
1536190,SANDOVAL AYALA Martha,14-08-1998,0,0,2024,Summer,Swimming,Women's 10km,MEX,,,Mexico,FALSE,FALSE,FALSE
1536196,ESTUDILLO TORRES Alejandra,20-05-2005,0,0,2024,Summer,Diving,Women's 3m Springboard,MEX,,,Mexico,FALSE,FALSE,FALSE
1536197,CELAYA HERNANDEZ Juan Manuel,01-09-1998,0,0,2024,Summer,Diving,Men's Synchronised 3m Springboard,MEX,Mexico,Silver,Mexico,FALSE,FALSE,TRUE
1536198,VAZQUEZ MONTANO Aranza,21-08-2002,0,0,2024,Summer,Diving,Women's 3m Springboard,MEX,,,Mexico,FALSE,FALSE,FALSE
1536207,ALIPOUR SHENAZANDIFARD Reza,29-04-1994,170,0,2024,Summer,Sport Climbing,Men's Speed,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536214,ALAMIAN Nima,24-12-1992,0,0,2024,Summer,Table Tennis,Men's Singles,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536215,ALAMIYAN Noshad,21-11-1991,0,0,2024,Summer,Table Tennis,Men's Singles,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536233,YASEEN Taha Hussein,01-01-1998,171,0,2024,Summer,Athletics,Men's 100m,IRQ,,,Iraq,FALSE,FALSE,FALSE
1536251,MAAN Tulika,09-09-1998,0,0,2024,Summer,Judo,Women +78 kg,IND,,,India,FALSE,FALSE,FALSE
1536341,ANCER Abraham,27-02-1991,170,0,2024,Summer,Golf,Men's Individual Stroke Play,MEX,,,Mexico,FALSE,FALSE,FALSE
1536368,SHARMA Shubhankar,21-07-1996,177,0,2024,Summer,Golf,Men's Individual Stroke Play,IND,,,India,FALSE,FALSE,FALSE
1536371,BHULLAR Gaganjeet,27-04-1988,184,0,2024,Summer,Golf,Men's Individual Stroke Play,IND,,,India,FALSE,FALSE,FALSE
1536372,GIRMA Ermias,20-01-2005,176,0,2024,Summer,Athletics,Men's 1500m,ETH,,,Ethiopia,FALSE,FALSE,FALSE
1536460,ROJAS Carlos,14-01-2000,0,0,2024,Summer,Archery,"Men's Individual"", ""Men's Team",MEX,,,Mexico,FALSE,FALSE,FALSE
1536467,MARTINEZ WING Bruno,08-03-1998,0,0,2024,Summer,Archery,"Men's Individual"", ""Men's Team",MEX,,,Mexico,FALSE,FALSE,FALSE
1536479,VAZQUEZ Ana,05-10-2000,0,0,2024,Summer,Archery,"Women's Individual"", ""Women's Team",MEX,,,Mexico,FALSE,FALSE,FALSE
1536494,RIVERA Edgar,13-02-1991,198,0,2024,Summer,Athletics,Men's High Jump,MEX,,,Mexico,FALSE,FALSE,FALSE
1536495,TAMAYO-GARZA Cecilia,04-03-1997,167,0,2024,Summer,Athletics,"Women's 100m"", ""Women's 200m",MEX,,,Mexico,FALSE,FALSE,FALSE
1536496,ALEMU Habitam,09-07-1997,170,0,2024,Summer,Athletics,Women's 800m,ETH,,,Ethiopia,FALSE,FALSE,FALSE
1536497,MESELE Worknesh,11-06-2001,172,0,2024,Summer,Athletics,Women's 800m,ETH,,,Ethiopia,FALSE,FALSE,FALSE
1536498,DUGUMA Tsige,23-02-2001,164,0,2024,Summer,Athletics,Women's 800m,ETH,,Silver,Ethiopia,FALSE,FALSE,TRUE
1536522,ASHOK Aditi,29-03-1998,173,0,2024,Summer,Golf,Women's Individual Stroke Play,IND,,,India,FALSE,FALSE,FALSE
1536523,DAGAR Diksha,14-12-2000,175,0,2024,Summer,Golf,Women's Individual Stroke Play,IND,,,India,FALSE,FALSE,FALSE
1536568,FAYISA Abdisa,24-04-2005,173,0,2024,Summer,Athletics,Men's 1500m,ETH,,,Ethiopia,FALSE,FALSE,FALSE
1536585,GUERRERO Ilse,24-03-1993,156,0,2024,Summer,Athletics,Women's 20km Race Walk,MEX,,,Mexico,FALSE,FALSE,FALSE
1536599,CHAMA Noel,15-09-1997,176,0,2024,Summer,Athletics,Men's 20km Race Walk,MEX,,,Mexico,FALSE,FALSE,FALSE
1536600,ORTIZ Ricardo,07-02-1995,168,0,2024,Summer,Athletics,Men's 20km Race Walk,MEX,,,Mexico,FALSE,FALSE,FALSE
1536624,SHAHSAVARI Neda,21-09-1986,0,0,2024,Summer,Table Tennis,Women's Singles,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536632,FALLAH Mobina,13-08-1999,0,0,2024,Summer,Archery,Women's Individual,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536648,LOH Kean Yew,26-06-1997,175,0,2024,Summer,Badminton,Men's Singles,SGP,,,Singapore,FALSE,FALSE,FALSE
1536649,HEE Yong Kai Terry,06-07-1995,171,0,2024,Summer,Badminton,Mixed Doubles,SGP,,,Singapore,FALSE,FALSE,FALSE
1536650,TAN Wei Han Jessica,16-07-1993,167,0,2024,Summer,Badminton,Mixed Doubles,SGP,,,Singapore,FALSE,FALSE,FALSE
1536651,YEO Jia Min,01-02-1999,163,0,2024,Summer,Badminton,Women's Singles,SGP,,,Singapore,FALSE,FALSE,FALSE
1536669,LABIB Ali,21-09-2002,0,0,2024,Summer,Cycling,Men's Road Race,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536683,FASIHI Farzaneh,03-01-1993,161,0,2024,Summer,Athletics,Women's 100m,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536701,TAFTIAN Hassan,04-05-1993,182,0,2024,Summer,Athletics,Men's 100m,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536721,PANWAR Balraj,26-07-1999,0,0,2024,Summer,Rowing,Men's Single Sculls,IND,,,India,FALSE,FALSE,FALSE
1536885,RICKETTS Shanieka,02-02-1992,188,0,2024,Summer,Athletics,Women's Triple Jump,JAM,,Silver,Jamaica,FALSE,FALSE,TRUE
1536925,HARRIS Naquille,16-05-2002,175,0,2024,Summer,Athletics,Men's 100m,SKN,,,St Kitts and Nevis,FALSE,FALSE,FALSE
1536961,DAVOUDI Ali,22-03-1999,0,0,2024,Summer,Weightlifting,Men's +102kg,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536971,JAVADI ALIABADI Mir Mostafa,22-06-2000,0,0,2024,Summer,Weightlifting,Men's 89kg,IRI,,,IR Iran,FALSE,FALSE,FALSE
1536983,WELTEJI Diribe,13-05-2002,166,0,2024,Summer,Athletics,Women's 1500m,ETH,,,Ethiopia,FALSE,FALSE,FALSE
1536990,HAYLOM Birke,06-01-2006,164,0,2024,Summer,Athletics,Women's 1500m,ETH,,,Ethiopia,FALSE,FALSE,FALSE
1536992,HAILU Freweyni,12-02-2001,166,0,2024,Summer,Athletics,Women's 5000m,ETH,,,Ethiopia,FALSE,FALSE,FALSE
